Workout Type,Start,End,Duration,Active Energy (kcal),Resting Energy (kcal),Intensity (kcal/hr·kg),Max. Heart Rate (bpm),Avg. Heart Rate (bpm),Distance (km),Max. Speed (km/hr),Avg. Speed (km/hr),Flights Climbed,Elevation Ascended (m),Elevation Descended (m),Step Count,Step Cadence (spm),Swim Stroke Count,Swim Stroke Cadence (spm),Lap Length (km),Stroke Style,SWOLF Score,Water Salinity,Temperature (ºC),Humidity (%),Location,
Run,2024-09-21 16:46,2024-09-21 17:54,01:07:38,584.0,79.65890251818352,0.0,0.0,0.0,4.878379897090544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Hiking,2024-09-21 16:47,2024-09-21 17:54,01:07:18,260.4490046525927,79.87067802069872,5.518567043373518,0.0,0.0,4.718820716309594,0.0,0.0,0.0,135.82,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Squash,2024-09-19 18:20,2024-09-19 20:25,02:05:16,1195.6734668228908,148.01200000000003,11.636366016504542,0.0,0.0,3.5769864456306677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Outdoor Walk,2024-09-19 15:46,2024-09-19 16:48,01:02:27,146.8310000000015,74.04070732649366,3.796987649732252,0.0,0.0,3.690086177419871,0.0,0.0,0.0,43.84,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.939999999997667,55.00000000000001,Outdoor,
Outdoor Walk,2024-09-13 08:17,2024-09-13 12:56,04:38:20,311.334438610843,327.48200000000014,2.073489303373064,0.0,0.0,3.7972649470467696,0.0,0.0,0.0,72.03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.349999999997749,83.0,Outdoor,
Squash,2024-09-12 18:22,2024-09-12 20:13,01:50:42,713.9279999999991,128.6940000000001,0.0,0.0,0.0,2.821330082114087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,11.81999999999772,68.0,,
Outdoor Walk,2024-09-12 15:11,2024-09-12 17:33,01:39:18,143.33933834649076,161.14469166732889,2.18020268325754,0.0,0.0,2.5493500294394327,0.0,0.0,0.0,69.69,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.819999999997663,53.0,Outdoor,
Outdoor Walk,2024-09-10 16:43,2024-09-10 18:57,02:14:13,206.0015936845596,158.85010998378308,2.7286484268611755,0.0,0.0,3.966184726784656,0.0,0.0,0.0,18.490000000000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,18.909999999997694,54.0,Outdoor,
Outdoor Walk,2024-09-09 14:39,2024-09-09 19:07,04:28:19,377.5566696820897,316.4462719351894,2.4836770039917773,0.0,0.0,6.29054167205235,0.0,0.0,0.0,165.21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,17.54999999999768,54.0,Outdoor,
Outdoor Walk,2024-09-09 13:44,2024-09-09 14:12,00:28:04,38.33139187924732,34.00444818036148,2.4425567910020836,0.0,0.0,0.5611375492881436,0.0,0.0,0.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.23999999999768,59.0,Outdoor,
Squash,2024-08-30 18:03,2024-08-30 19:06,01:02:56,362.2550000000023,73.72464829372865,7.269895974004975,0.0,0.0,1.6253266351330093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.729999999997688,56.99999999999999,,
Squash,2024-08-29 21:11,2024-08-29 21:25,00:13:45,107.952,16.471070894531774,9.889885868077206,0.0,0.0,0.6496117797987535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.379999999997665,56.99999999999999,,
Squash,2024-08-29 18:25,2024-08-29 21:02,02:36:23,940.080999999994,184.00700000000006,7.548520172026848,0.0,0.0,3.877979657758726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,14.019999999997708,62.0,,
